Nama Pengadilan,Pengadilan Tinggi,Provinsi,Jumlah Putusan / Publikasi
PA KUNINGAN,PTA BANDUNG,,33580 / 30401
PA KUPANG,PTA KUPANG,,2201 / 2175
PA Kabanjahe 401792,PTA MEDAN,,2460 / 2455
PA Kaimana,PTA JAYAPURA,,234 / 234
PA Kasongan,PTA PALANGKARAYA,,1187 / 1140
PA Kepahiang,PTA BENGKULU,,3456 / 3374
PA Kota Padangsidempuan,PTA MEDAN,,5620 / 5619
PA Kuala Kurun,PTA PALANGKARAYA,,394 / 390
PA Kuala Pembuang,PTA PALANGKARAYA,,1467 / 1457
PA Kwandang,PTA GORONTALO,,2608 / 2607
PA LABUAN BAJO,PTA KUPANG,,2324 / 2315
PA LABUHAN BACAN,PTA MALUKU UTARA,,4790 / 4566
PA LAHAT,PTA PALEMBANG,,10502 / 10083
PA LAMONGAN,PTA SURABAYA,,45785 / 45721
PA LARANTUKA,PTA KUPANG,,1239 / 1209
PA LEWOLEBA,PTA KUPANG,,759 / 757
PA LIMBOTO,PTA GORONTALO,,11915 / 11201
PA LUBUK BASUNG,PTA PADANG,,6893 / 6842
PA LUBUK LINGGAU,PTA PALEMBANG,,18550 / 18437
PA LUBUK PAKAM,PTA MEDAN,,31188 / 31151
PA LUBUK SIKAPING,PTA PADANG,,6108 / 6057
PA LUMAJANG,PTA SURABAYA,,58789 / 58702
PA LUWUK,PTA PALU,,9547 / 9539
PA Lasusua,PTA KENDARI,,2366 / 2364
PA Latihan,,,3 / 2
PA Lebong,PTA BENGKULU,,2568 / 2473
PA Lolak,PTA MANADO,,4570 / 4542
PA MADIUN,PTA SURABAYA,,7326 / 7324
PA MAGELANG,PTA SEMARANG,,4495 / 4471
PA MAGETAN,PTA SURABAYA,,21539 / 21538
PA MAJALENGKA,PTA BANDUNG,,50224 / 44806
PA MAJENE,PTA MAKASSAR,,6735 / 6735
PA MAKALE,PTA MAKASSAR,,1378 / 1374
PA MAKASSAR,PTA MAKASSAR,,38040 / 36156
PA MALANG,PTA SURABAYA,,39898 / 39423
PA MAMUJU,PTA MAKASSAR,,9209 / 9163
PA MANADO,PTA MANADO,,6761 / 6731
PA MANINJAU,PTA PADANG,,3397 / 3389
PA MANNA,PTA BENGKULU,,8282 / 8280
PA MANOKWARI,PTA JAYAPURA,,3885 / 3639
PA MARABAHAN,PTA BANJARMASIN,,7577 / 7499
PA MARISA,PTA GORONTALO,,4933 / 4792
PA MAROS,PTA MAKASSAR,,11920 / 11867
PA MARTAPURA,PTA BANJARMASIN,,16563 / 16499
PA MASAMBA,PTA MAKASSAR,,10043 / 10039
PA MASOHI,PTA AMBON,,3605 / 3469
PA MATARAM,PTA MATARAM,,14060 / 13415
PA MAUMERE,PTA KUPANG,,1053 / 1052
PA MEDAN,PTA MEDAN,,38561 / 37711
PA MEMPAWAH,PTA PONTIANAK,,11794 / 11746
PA MENTOK,PTA BANGKA BELITUNG,,4257 / 4200
PA MERAUKE,PTA JAYAPURA,,4559 / 4537
PA METRO,PTA BANDAR LAMPUNG,,15372 / 15176
PA MIMIKA,PTA JAYAPURA,,2731 / 2730
PA MOJOKERTO,PTA SURABAYA,,52396 / 52380
PA MOROTAI,PTA MALUKU UTARA,,4933 / 4902
PA MUARA BULIAN,PTA JAMBI,,6946 / 6940
PA MUARA BUNGO,PTA JAMBI,,6311 / 6271
PA MUARA ENIM,PTA PALEMBANG,,18582 / 18435
PA MUARA LABUH,PTA PADANG,,4584 / 4528
PA MUARA SABAK,PTA JAMBI,,5374 / 5357
PA MUARA TEBO,PTA JAMBI,,5947 / 5880
PA MUARA TEWE,PTA PALANGKARAYA,,6505 / 6466
PA MUNGKID,PTA SEMARANG,,30842 / 22192
PA Malili,PTA MAKASSAR,,4081 / 4048
PA Martapura Sumsel,PTA PALEMBANG,,7776 / 7631
PA Mesuji,PTA BANDAR LAMPUNG,,3315 / 3245
PA Muaradua,PTA PALEMBANG,,2975 / 2963
PA Mukomuko,PTA BENGKULU,,2763 / 2762
PA NABIRE,PTA JAYAPURA,,2304 / 2297
PA NATUNA,PTA PEKANBARU,,2858 / 2838
PA NEGARA BANJARMASIN,PTA BANJARMASIN,,3586 / 3579
PA NEGARA MATARAM,PTA MATARAM,,3456 / 3387
PA NGANJUK,PTA SURABAYA,,40857 / 40690
PA NGAWI,PTA SURABAYA,,27837 / 27808
PA NUNUKAN,PTA SAMARINDA,,6453 / 6393
PA Namlea,PTA MALUKU UTARA,,2758 / 2675
PA Nanga Bulik,PTA PALANGKARAYA,Kalimantan Tengah,1735 / 1683
PA Nanga Pinoh,PTA PONTIANAK,,1785 / 1783
PA Ngamprah,PTA BANDUNG,,25812 / 25601
PA PACITAN,PTA SURABAYA,,19137 / 18991
PA PADANG,PTA PADANG,,23010 / 22694
PA PADANG PANJANG,PTA PADANG,,4751 / 4737
PA PADANG SIDEMPUAN,PTA MEDAN,,6116 / 6109
PA PAINAN,PTA PADANG,,8146 / 7985
PA PALANGKARAYA,PTA PALANGKARAYA,,7677 / 6967
PA PALEMBANG,PTA PALEMBANG,,38579 / 37131
PA PALOPO,PTA MAKASSAR,,7752 / 7715
PA PALU,PTA PALU,,14481 / 14326
PA PAMEKASAN,PTA SURABAYA,,32269 / 32245
PA PANDAN,PTA MEDAN,,4619 / 4485
PA PANDEGLANG,PTA BANTEN,,18663 / 15859
PA PANGKAJENE,PTA MAKASSAR,,7908 / 7761
PA PANGKAL PINANG,PTA BANGKA BELITUNG,,5984 / 5969
PA PANGKALAN BUN,PTA PALANGKARAYA,,9306 / 8585
PA PANGKALAN KERINCI,PTA PEKANBARU,,7004 / 6445
PA PANIAI,PTA JAYAPURA,,151 / 151
PA PANYABUNGAN,PTA MEDAN,,8788 / 8624
PA PARE PARE,PTA MAKASSAR,,7786 / 7776
PA PARIAMAN,PTA PADANG,,12955 / 12838
PA PARIGI,PTA PALU,,7012 / 6764
PA PASIR PANGARAYAN,PTA PEKANBARU,,10493 / 10457
PA PASURUAN,PTA SURABAYA,,39577 / 39566
PA PATI,PTA SEMARANG,,38347 / 32793
PA PAYAKUMBUH,PTA PADANG,,9752 / 9458
PA PEKALONGAN,PTA SEMARANG,,7460 / 7166
PA PEKANBARU,PTA PEKANBARU,,24691 / 24341
PA PELAIHARI,PTA BANJARMASIN,,14243 / 14001
PA PEMALANG,PTA SEMARANG,,53499 / 53366
PA PEMATANG SIANTAR,PTA MEDAN,,3732 / 3010
PA PINRANG,PTA MAKASSAR,,18836 / 18803
PA POLEWALI,PTA MAKASSAR,,16427 / 16190
PA PONOROGO,PTA SURABAYA,,34104 / 33991
PA PONTIANAK,PTA PONTIANAK,,21822 / 21681
PA POSO,PTA PALU,,3501 / 3491
PA PRAYA,PTA MATARAM,,20890 / 14433
PA PROBOLINGGO,PTA SURABAYA,,10947 / 10924
PA PURBALINGGA,PTA SEMARANG,,42042 / 42036
PA PURWAKARTA,PTA BANDUNG,,24342 / 22766
PA PURWODADI,PTA SEMARANG,,48225 / 47239
PA PURWOKERTO,PTA SEMARANG,,36999 / 36353
PA PURWOREJO,PTA SEMARANG,,21574 / 20579
PA PUTUSSIBAU,PTA PONTIANAK,,3133 / 3094
PA Pagaralam,PTA PALEMBANG,,2504 / 2493
PA Pangkalan Balai,PTA PALEMBANG,,7030 / 6984
PA Pasangkayu,PTA MAKASSAR,,2089 / 2083
PA Pasarwajo,PTA KENDARI,,4136 / 4098
PA Penajam,PTA SAMARINDA,,3705 / 3693
